Rank,Player,Pos,Total Points,Games Played,Points per Game,Field goals Made,Three-pointers Made,Free Throws Made
1,LeBron James^,SF,"38,652","1,421",27.2,"14,152","2,261","8,087"
2,Kareem Abdul-Jabbar*,C,"38,387","1,560",24.6,"15,837",1,"6,712"
3,Karl Malone*,PF,"36,928","1,476",25.0,"13,528",85,"9,787"
4,Kobe Bryant*,SG,"33,643","1,346",25.0,"11,719","1,827","8,378"
5,Michael Jordan*,SG,"32,292","1,072",30.1,"12,192",581,"7,327"
6,Dirk Nowitzki*,PF/C,"31,560","1,522",20.7,"11,169","1,982","7,240"
8,Shaquille O'Neal*,C,"28,596","1,207",23.7,"11,330",1,"5,935"
9,Carmelo Anthony†,SF,"28,289","1,260",22.5,"10,119","1,731","6,320"
10,Moses Malone*,C,"27,409","1,329",20.6,"9,435",8,"8,531"
11,Elvin Hayes*,PF/C,"27,313","1,303",21.0,"10,976",5,"5,356"
12,Hakeem Olajuwon*,C,"26,946","1,238",21.8,"10,749",25,"5,423"
13,Kevin Durant^,SF/PF,"26,892",986,27.3,"9,199","1,863","6,631"
15,Dominique Wilkins*,SF,"26,668","1,074",24.8,"9,963",711,"6,031"
16,Tim Duncan*,PF/C,"26,496","1,392",19.0,"10,285",30,"5,896"
17,Paul Pierce*,SF/SG,"26,397","1,343",19.7,"8,668","2,143","6,918"
19,Kevin Garnett*,PF/C,"26,071","1,462",17.8,"10,505",174,"4,887"
20,Vince Carter§,SG/SF,"25,728","1,541",16.7,"9,293","2,290","4,852"
21,Alex English*,SF,"25,613","1,193",21.5,"10,659",18,"4,277"
22,Reggie Miller*,SG,"25,279","1,389",18.2,"8,241","2,560","6,237"
24,Patrick Ewing*,C,"24,815","1,183",21.0,"9,702",19,"5,392"
25,James Harden^,SG/PG,"24,693","1,000",24.7,"7,291","2,754","7,357"
26,Ray Allen*,SG,"24,505","1,300",18.9,"8,567","2,973","4,398"
27,Russell Westbrook^,PG,"24,457","1,094",22.4,"8,754","1,231","5,718"
28,Allen Iverson*,SG/PG,"24,368",914,26.7,"8,467","1,059","6,375"
29,Charles Barkley*,PF,"23,757","1,073",22.1,"8,435",538,"6,349"
30,Robert Parish*,C,"23,334","1,611",14.5,"9,614",0,"4,106"
31,Adrian Dantley*,SF,"23,177",955,24.3,"8,169",7,"6,832"
32,Dwyane Wade*,SG,"23,165","1,054",22.0,"8,454",549,"5,708"
34,Clyde Drexler*,SG,"22,195","1,086",20.4,"8,335",827,"4,698"
35,Gary Payton*,PG,"21,813","1,335",16.3,"8,708","1,132","3,265"
36,Larry Bird*,SF/PF,"21,791",897,24.3,"8,591",649,"3,960"
37,Chris Paul^,PG,"21,755","1,214",17.9,"7,692","1,642","4,729"
38,Stephen Curry^,PG,"21,712",882,24.6,"7,434","3,390","3,454"
39,DeMar DeRozan^,SG/SF,"21,685","1,031",21.0,"7,790",456,"5,649"
42,Pau Gasol*,PF/C,"20,894","1,226",17.0,"7,980",179,"4,755"
44,David Robinson*,C,"20,790",987,21.1,"7,365",25,"6,035"
45,George Gervin*,SG/SF,"20,708",791,26.2,"8,045",77,"4,541"
46,LaMarcus Aldridge†,PF/C,"20,558","1,076",19.1,"8,311",227,"3,709"
47,Mitch Richmond*,SG,"20,497",976,21.0,"7,305","1,326","4,561"
48,Joe Johnson†,SG/SF,"20,407","1,277",16.0,"7,823","1,978","2,783"
49,Tom Chambers,PF,"20,049","1,107",18.1,"7,378",227,"5,066"
50,Antawn Jamison,PF/SF,"20,042","1,083",18.5,"7,679","1,163","3,521"
